X,Y,Z
0.253641175,2.15484479,1.987283107
0.262529114,1.886487481,2.231346634
0.288559719,1.187630622,2.847926329
0.322947192,0.583198058,3.365764206
0.373239609,0.149193934,3.742371617
0.426682249,0.072704849,3.837476999
0.475925433,0.427805789,3.589821181
0.514272823,1.137871318,3.032982157
0.524961767,2.034627904,2.280324111
0.462063045,2.936884265,1.469987061
0.321235395,3.751599942,0.68405097
0.203384926,4.460209421,-0.023475992
0.165525778,5.061062997,-0.618669635
0.167842685,5.451559719,-1.007037648
0.16554668,5.658919632,-1.212576335
0.171630834,5.842574933,-1.360041364
0.194610753,6.025134684,-1.490973811
0.210255422,6.085363655,-1.53163492
0.208720265,6.00309983,-1.458094864
0.216247183,5.907658801,-1.368127588
0.251484236,5.904950686,-1.36030207
0.29060577,5.930147461,-1.392898509
0.291690612,5.770839908,-1.284939666
0.258778301,5.258892418,-0.869032957
0.222223227,4.436171906,-0.153564281
0.205204345,3.460043888,0.724931037
0.210304101,2.487865301,1.608088049
0.22724719,1.539142628,2.465454405
0.25597745,0.710531218,3.211781505
0.304216584,0.093719786,3.777292565
0.35962905,-0.249490001,4.112063027
0.417432727,-0.408064738,4.287948613
0.454695148,-0.285504537,4.198529398
0.49398517,0.174384636,3.821648322
0.537014897,0.942281343,3.19461735
0.572752448,1.898437412,2.402853213
0.581776644,2.80661778,1.618784639
0.565136909,3.577235099,0.920605953
0.534186346,4.27512099,0.26816121
0.502909593,4.842470916,-0.273412026
0.467362612,5.330360579,-0.751815076
0.429681652,5.638936595,-1.066170801
0.393662113,5.799782966,-1.239922917
0.369502211,5.884115326,-1.324931161
0.350902046,5.924476719,-1.348362948
0.323386187,5.78774551,-1.2167764
0.2788474,5.312031205,-0.807461099
0.228932979,4.529760231,-0.137137455
0.194944685,3.661489518,0.618043648
0.184911502,2.795116767,1.380611916
0.190845406,1.990264404,2.087787513
0.206121835,1.138428623,2.82559339
0.234530388,0.384049159,3.479100459
0.279600454,-0.161410243,3.974131561
0.332275085,-0.31848557,4.156959454
0.386645317,0.01555142,3.922507831
0.433047139,0.778266517,3.307823817
0.464875325,1.798610129,2.46416509
0.478676451,2.873010947,1.573859667
0.474599709,3.897861546,0.715386805
0.44698827,4.710095795,0.003272246
0.397383752,5.281930905,-0.538988223
0.346375674,5.622305666,-0.886915949
0.316631444,5.842503193,-1.101134786
0.305302295,6.061563442,-1.287532259
0.290225028,6.241865401,-1.442227484
0.255461212,6.174441407,-1.399143192
0.208958901,5.698343776,-0.999222305
0.166550273,4.874552483,-0.269878616
0.138542213,3.930819862,0.585595428
0.124812092,2.961956938,1.455129683
0.130898916,2.050719491,2.25198202
0.190548881,1.197103127,2.9968803
0.32396734,0.580267627,3.552437292
0.468040815,0.203179324,3.911818063
0.531984195,-0.001339008,4.124307456
0.505918932,0.052727489,4.110268066
0.468131784,0.523909637,3.741574931
0.459273002,1.467313329,2.97662767
0.463929344,2.545940239,2.087854305
0.458098016,3.622650433,1.164330672
0.432512869,4.421608462,0.423704386
0.391648741,4.99374542,-0.144212494
0.347572544,5.463386329,-0.599635866
0.312777538,5.847831299,-0.949369568
0.276410661,6.13174369,-1.215130227
0.237235534,6.232324291,-1.335791194
0.206392232,6.193138532,-1.329828204
0.184034809,6.036635049,-1.208107443
0.156084009,5.667239906,-0.892948295
0.110982487,4.919146836,-0.245630223
0.069639926,3.881723217,0.654717633
0.061546402,2.799134601,1.601927924
0.090647705,1.847766933,2.453301687
0.137147264,1.022264766,3.200863182
0.184423362,0.3333131,3.817840248
0.239685607,-0.037825098,4.166649351
0.307443609,0.185444384,4.022323143
0.383589108,1.142213836,3.250221201
0.422202092,2.45568488,2.138618187
0.400918959,3.622292481,1.118863492
0.333766681,4.604246861,0.236801668
0.260853115,5.380460224,-0.469211783
0.219321631,5.9321146,-0.977854595
0.210345637,6.186895687,-1.234228468
0.208325632,6.260269894,-1.335841258
0.210143906,6.302691082,-1.398077434
0.214157571,6.412133598,-1.506356945
0.202913127,6.546518405,-1.638929974
0.183787611,6.533176568,-1.638425955
0.167718746,6.322671782,-1.463929128
0.155263929,5.893222925,-1.094014884
0.132364137,5.219704625,-0.49988037
0.093432659,4.283172995,0.329000132
0.057452935,3.174762097,1.296400771
0.052839975,1.975054363,2.344156007
0.093171016,0.984213408,3.238744684
0.155746698,0.225006031,3.953183883
0.22027273,-0.427980726,4.579092637
0.277159619,-0.87095789,5.01504947
0.333509912,-0.804897198,5.001423946
0.385923119,-0.188603309,4.502140897
0.432214576,0.959196565,3.53994963
0.446690308,2.221416636,2.465971261
0.431819053,3.2846261,1.544753331
0.403009301,4.236495023,0.697264856
0.370090645,5.04027555,-0.035568281
0.333530937,5.683193989,-0.632886862
0.295295489,6.086851612,-1.027488739
0.260712865,6.245399067,-1.209349424
0.233457698,6.283870651,-1.276052604
0.208440959,6.243635675,-1.26626687
0.16883904,5.94076476,-1.03046953
0.108099484,5.177175608,-0.393883004
0.048276935,4.069621075,0.554601281
0.017684323,2.85886751,1.616444198
0.032545585,1.714940138,2.647216439
0.078676365,0.778735957,3.499819001
0.134700129,-0.02243688,4.225532252
0.190901574,-0.656832702,4.811603712
0.243086601,-0.9338661,5.100138753
0.294691679,-0.74133423,4.988900812
0.342610929,-0.049707015,4.445918402
0.381697299,1.07119892,3.522272949
0.400198768,2.292346469,2.485728762
0.397629718,3.560456182,1.379812141
0.378308424,4.600494089,0.447510128
0.344033868,5.407279971,-0.291927272
0.299676807,5.923913357,-0.77425047
0.2565497,6.18226257,-1.026457429
0.225072719,6.291499086,-1.142551379
0.197607838,6.318498251,-1.185121469
0.162020419,6.110464866,-1.033873115
0.112138756,5.468965704,-0.517962053
0.060603001,4.444239682,0.33829273
0.030305502,3.265565765,1.351444094
0.037099572,2.17615681,2.317148948
0.06944723,1.226063512,3.178829356
0.1066189,0.375493163,3.948825461
0.146554699,-0.35227327,4.613678845
0.196609543,-0.824829985,5.075256572
0.255183731,-0.886346723,5.187433717
0.311367589,-0.448831276,4.851323881
0.35788177,0.379280532,4.155836402
0.398323099,1.452426458,3.243474365
0.425309074,2.582307629,2.285714877
0.427067287,3.680928903,1.337949927
0.395696569,4.598895438,0.5010185
0.339809341,5.281365885,-0.160686324
0.280367718,5.780628963,-0.641679695
0.228558907,6.054059236,-0.891370373
0.16390543,5.925331028,-0.790400517
0.081062775,5.167058998,-0.154568953
0.022679668,3.980654993,0.853405257
0.02178587,2.608415669,2.032870915
0.074654695,1.434461287,3.065618391
0.141579517,0.425727458,3.983740722
0.200263867,-0.535683002,4.879593791
0.255124412,-1.361190338,5.65599054
0.320079296,-1.998559381,6.274236743
0.387266935,-2.20606776,6.526155959
0.454707239,-1.8018832,6.232084144
0.511407287,-0.82744201,5.405293111
0.540046582,0.404886446,4.328972694
0.542696245,1.570455907,3.305949045
0.528106283,2.644972699,2.361415742
0.492503341,3.612684907,1.497095667
0.433912863,4.444398344,0.717655273
0.359258155,5.075434172,0.086978196
0.277676877,5.423751964,-0.282944891
0.200463989,5.318895229,-0.212075383
0.124938731,4.655419278,0.374701834
0.065193341,3.518694341,1.371793153
0.047395428,2.216253978,2.500525359
0.077221478,1.028689974,3.54050476
0.141411288,0.032073514,4.452642201
0.22292832,-0.844639864,5.295195099
0.293545987,-1.595157978,6.020945051
0.358144516,-2.306262435,6.702648236
0.41964229,-2.81901412,7.209421471
0.488515913,-3.055035273,7.477660624
0.558074482,-2.762049034,7.260996111
0.605433511,-1.892867884,6.495799421
0.622515013,-0.837595079,5.555260762
0.617727941,0.258788013,4.602434853
0.592289123,1.397324564,3.641550127
0.553090187,2.407854106,2.785097984
0.507482588,3.325241091,1.979032895
0.46301895,4.098876183,1.27111616
0.413174579,4.798621007,0.608374984
0.358056187,5.398842254,0.030181587
0.294640662,5.855921628,-0.415180203
0.21345474,5.936872293,-0.530644392
0.11487244,5.399900786,-0.099540458
0.030730893,4.315072356,0.841392069
-0.002430737,3.075333817,1.947686743
0.009858785,1.873540739,3.023492387
0.044901378,0.715689671,4.068809223
0.081895064,-0.348241922,5.088536415
0.117272105,-1.167513302,5.951645868
0.182353786,-1.578276391,6.430388676
0.285261982,-1.350364419,6.241986423
0.38912988,-0.476956674,5.425532825
